Zip , Population
12168 ,"1,937"
12169 ,346
12170 ,"4,894"
12172 ,310
12173 ,"1,731"
12174 ,251
12175 ,770
12176 ,385
12177 ,596
12180 ,"53,218"
12182 ,"14,937"
12183 ,"2,612"
12184 ,"6,851"
12185 ,"2,180"
12186 ,"6,266"
12187 ,522
12188 ,"11,138"
12189 ,"17,675"
12190 ,856
12192 ,"2,089"
12193 ,"1,915"
12194 ,155
12195 ,175
12196 ,"3,214"
12197 ,"2,560"
12198 ,"7,723"
12202 ,"9,066"
12203 ,"30,926"
12204 ,"7,277"
12205 ,"27,395"
12206 ,"15,757"
12207 ,"1,506"
12208 ,"21,417"
12209 ,"11,844"
12210 ,"9,147"
12211 ,"11,503"
12222 ,"5,966"
12302 ,"27,809"
12303 ,"29,906"
12304 ,"22,537"
12305 ,"4,923"
12306 ,"25,494"
12307 ,"6,951"
12308 ,"15,187"
12309 ,"29,992"
12401 ,"34,752"
12404 ,"3,835"
12405 ,558
12406 ,729
12407 ,137
12409 ,673
12410 ,696
12411 ,475
12412 ,574
12413 ,"2,645"
12414 ,"10,463"
12416 ,62
12417 ,762
12418 ,408
12419 ,446
12420 ,569
12421 ,411
12422 ,244
12423 ,"1,016"
12424 ,246
12427 ,620
12428 ,"6,709"
12429 ,128
12430 ,"1,034"
12431 ,"1,338"
12432 ,530
12433 ,493
12434 ,515
12435 ,274
12436 ,500
12438 ,55
12439 ,303
12440 ,"2,008"
12441 ,34
12442 ,881
12443 ,"3,710"
12444 ,386
12446 ,"4,633"
12448 ,514
12449 ,"3,301"
12450 ,89
12451 ,"1,986"
12452 ,237
12453 ,417
12454 ,292
12455 ,"1,978"
12456 ,690
12457 ,743
12458 ,"3,281"
12459 ,205
12460 ,434
12461 ,"2,088"
12463 ,"1,006"
12464 ,963
12465 ,238
12466 ,"2,180"
12468 ,"1,077"
12469 ,707
12470 ,537
12471 ,672
12472 ,"1,646"
12473 ,"1,363"
12474 ,"1,467"
12475 ,240
12477 ,"18,797"
12480 ,594
12481 ,"1,119"
12482 ,729
12483 ,385
12484 ,"2,884"
12485 ,822
12486 ,"1,461"
12487 ,"3,243"
12489 ,943
12490 ,110
12491 ,"1,799"
12492 ,348
12493 ,313
12494 ,662
12495 ,294
12496 ,"1,632"
12498 ,"4,800"
12501 ,"2,710"
12502 ,"1,114"
12503 ,874
12504 ,"1,260"
12507 ,200
12508 ,"19,742"
12512 ,129
12513 ,596
12514 ,"3,273"
12515 ,"1,284"
12516 ,"2,168"
12517 ,631
12518 ,"5,889"
12520 ,"3,042"
12521 ,"1,470"
12522 ,"5,159"
12523 ,"1,725"
12524 ,"15,984"
12525 ,"2,882"
12526 ,"3,763"
12527 ,134
12528 ,"13,066"
12529 ,"2,515"
12530 ,55
12531 ,"3,492"
12533 ,"25,936"
12534 ,"17,846"
12538 ,"13,900"
12540 ,"7,634"
12542 ,"6,088"
12543 ,"3,035"
12545 ,"4,764"
12546 ,"2,960"
12547 ,"2,947"
12548 ,"1,352"
12549 ,"11,138"
12550 ,"54,903"
12553 ,"25,395"
12561 ,"18,423"
12563 ,"8,106"
12564 ,"7,224"
12565 ,"1,450"
12566 ,"10,596"
12567 ,"2,928"
12569 ,"9,990"
12570 ,"7,533"
12571 ,"10,191"
12572 ,"8,859"
12574 ,352
12575 ,"1,970"
12577 ,"1,526"
12578 ,"2,372"
12580 ,"4,539"
12581 ,"1,936"
12582 ,"6,165"
12583 ,"2,524"
12585 ,901
12586 ,"12,035"
12589 ,"18,005"
12590 ,"35,148"
12592 ,"1,196"
12594 ,"4,180"
12601 ,"42,608"
12603 ,"43,411"
12604 ,660
12701 ,"10,917"
12719 ,"1,275"
12720 ,187
12721 ,"5,743"
12722 ,199
12723 ,"2,090"
12724 ,368
12725 ,194
12726 ,"1,312"
12729 ,"2,183"
12732 ,787
12733 ,"1,666"
12734 ,728
12736 ,201
12737 ,"2,062"
12738 ,650
12740 ,"1,867"
12741 ,304
12742 ,290
12743 ,252
12745 ,192
12746 ,"1,376"
12747 ,"1,722"
12748 ,"1,825"
12749 ,337
12750 ,118
12751 ,"1,154"
12752 ,150
12754 ,"6,952"
12758 ,"4,529"
12759 ,"1,910"
12760 ,505
12762 ,395
12763 ,709
12764 ,"1,607"
12765 ,"1,033"
12766 ,482
12767 ,140
12768 ,758
12769 ,82
12770 ,245
12771 ,"14,041"
12775 ,"2,180"
12776 ,"2,123"
12777 ,757
12778 ,211
12779 ,"2,109"
12780 ,"2,152"
12781 ,346
12783 ,"2,425"
12784 ,51
12785 ,"1,095"
12786 ,292
12787 ,490
12788 ,"2,885"
12789 ,"1,855"
12790 ,"4,671"
12791 ,646
12792 ,300
12801 ,"14,574"
12803 ,"8,093"
12804 ,"26,477"
12808 ,414
12809 ,"3,461"
12810 ,654
12811 ,92
12812 ,130
12814 ,"1,477"
12815 ,"1,056"
12816 ,"4,329"
12817 ,"2,358"
12819 ,316
12821 ,"2,178"
12822 ,"6,287"
12823 ,351
12824 ,991
12827 ,"3,705"
12828 ,"9,291"
12831 ,"17,614"
12832 ,"6,624"
12833 ,"4,111"
12834 ,"6,243"
12835 ,"2,353"
12836 ,670
12837 ,"1,032"
12838 ,601
12839 ,"13,784"
12841 ,89
12842 ,956
12843 ,372
12844 ,206
12845 ,"4,864"
12846 ,"3,289"
12847 ,418
12849 ,564
12850 ,"3,137"
12851 ,221
12852 ,493
12853 ,"1,351"
12855 ,172
12856 ,66
12857 ,533
12858 ,56
12859 ,"2,368"
12860 ,815
12861 ,698
12862 ,5
12863 ,655
12864 ,28
12865 ,"3,876"
12866 ,"37,268"
12870 ,"1,122"
12871 ,"4,282"
12872 ,76
12873 ,598
12874 ,139
12878 ,832
12883 ,"5,020"
12884 ,293
12885 ,"4,595"
12886 ,244
12887 ,"5,695"
12901 ,"32,843"
12903 ,"1,086"
12910 ,"2,046"
12911 ,49
12912 ,"1,982"
12913 ,"1,280"
12914 ,"1,053"
12916 ,"2,225"
12917 ,"1,198"
12918 ,"2,389"
12919 ,"2,903"
12920 ,"2,813"
12921 ,"2,328"
12922 ,36
12923 ,635
12924 ,114
12926 ,"1,954"
12927 ,228
12928 ,"1,843"
12929 ,"3,778"
12930 ,875
12932 ,"1,357"
12933 ,12
12934 ,"1,066"
12935 ,"1,676"
12936 ,517
12937 ,"1,723"
12939 ,227
12941 ,"1,530"
12942 ,791
12943 ,207
12944 ,"4,386"
12945 ,476
12946 ,"5,124"
12950 ,956
12952 ,402
12953 ,"15,679"
12955 ,465
12956 ,"1,260"
12957 ,"1,702"
12958 ,"1,843"
12959 ,"1,532"
12960 ,"1,443"
12961 ,298
12962 ,"6,009"
12964 ,113
12965 ,454
12966 ,"3,352"
12967 ,"1,361"
12969 ,391
12970 ,972
12972 ,"6,448"
12973 ,219
12974 ,"1,393"
12975 ,281
12976 ,163
12977 ,"1,733"
12978 ,315
12979 ,"2,433"
12980 ,"1,122"
12981 ,"2,612"
12983 ,"7,958"
12985 ,"1,315"
12986 ,"6,176"
12987 ,244
12989 ,957
12992 ,"4,697"
12993 ,"1,619"
12996 ,"1,905"
12997 ,"1,296"
12998 ,391
13020 ,145
13021 ,"39,326"
13024 ,"1,649"
13026 ,"1,799"
13027 ,"31,724"
13028 ,"1,452"
13029 ,"7,506"
13030 ,"3,792"
13031 ,"15,345"
13032 ,"13,230"
13033 ,"3,939"
13034 ,"1,857"
13035 ,"8,543"
13036 ,"8,465"
13037 ,"8,549"
13039 ,"17,759"
13040 ,"2,482"
13041 ,"11,023"
13042 ,"2,799"
13044 ,"2,352"
13045 ,"30,009"
13051 ,129
13052 ,"1,745"
13053 ,"4,283"
13054 ,"1,536"
13057 ,"14,547"
13060 ,"2,461"
13061 ,"1,193"
13062 ,303
13063 ,"1,901"
13064 ,26
13066 ,"11,809"
13068 ,"5,697"
13069 ,"25,297"
13071 ,989
13072 ,832
13073 ,"6,520"
13074 ,"4,467"
13076 ,"2,451"
13077 ,"6,673"
13078 ,"10,273"
13080 ,"3,997"
13081 ,"1,062"
